INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN197039,OPEN,COMPLAINT,small,-87.698252,41.815638,CONSERVATION
FAILED,CN106015,OPEN,COMPLAINT,small,-87.736476,41.879523,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.770813,41.888885,CONSERVATION
FAILED,CN107035,OPEN,PERIODIC,small,-87.689719,41.987522,CONSERVATION
FAILED,CN074014,OPEN,COMPLAINT,small,-87.65443,41.782536,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.715821,41.842969,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.752493,41.920185,VENTILATION
FAILED,CN061014,OPEN,COMPLAINT,small,-87.652893,41.743336,CONSERVATION
PASSED,EV1111,COMPLIED,PERMIT,small,-87.597903,41.790323,ELEVATOR
FAILED,EL0018,OPEN,COMPLAINT,small,-87.774149,41.910323,SPECIAL TASK FORCE
FAILED,CN196029,OPEN,PERIODIC,small,-87.679195,41.903046,CONSERVATION
FAILED,PL170017,OPEN,COMPLAINT,small,-87.739556,41.938818,SPECIAL TASK FORCE
FAILED,CN065014,OPEN,PERIODIC,small,-87.611277,41.784072,CONSERVATION
FAILED,CN062034,OPEN,COMPLAINT,small,-87.642142,41.75622,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.627829,41.894991,ELEVATOR
FAILED,CN196029,OPEN,COMPLAINT,small,-87.694312,41.848387,CONSERVATION
FAILED,PL232011,OPEN,COMPLAINT,small,-87.714872,41.912946,SPECIAL TASK FORCE
FAILED,CN138106,OPEN,COMPLAINT,small,-87.715005,41.77593,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.600275,41.742453,CONSERVATION
FAILED,CN190029,OPEN,PERIODIC,small,-87.690108,41.970812,CONSERVATION
FAILED,CN105025,OPEN,COMPLAINT,small,-87.598972,41.751206,CONSERVATION
FAILED,CN062024,OPEN,COMPLAINT,small,-87.62365,41.769289,CONSERVATION
FAILED,EV1111,OPEN,PERIODIC,small,-87.658457,41.993142,ELEVATOR
FAILED,CN138056,OPEN,COMPLAINT,small,-87.64054,41.77243,CONSERVATION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.724082,41.942886,CONSERVATION
FAILED,CN067024,OPEN,COMPLAINT,small,-87.704282,41.880885,CONSERVATION
FAILED,CN106015,OPEN,PERIODIC,small,-87.765176,41.893025,CONSERVATION
FAILED,CN076014,OPEN,COMPLAINT,small,-87.5468,41.74319,CONSERVATION
FAILED,CN067014,OPEN,COMPLAINT,small,-87.763234,41.885939,CONSERVATION
FAILED,CN070024,OPEN,COMPLAINT,small,-87.653131,41.872594,CONSERVATION
FAILED,CN062024,OPEN,PERIODIC,small,-87.656594,41.858625,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.672349,41.946058,NEW CONSTRUCTION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.765136,41.966685,CONSERVATION
FAILED,CN063014,OPEN,COMPLAINT,small,-87.652045,41.738261,CONSERVATION
FAILED,CN196029,OPEN,PERIODIC,small,-87.730778,41.882596,CONSERVATION
FAILED,CN015062,OPEN,PERIODIC,small,-87.643746,41.792356,CONSERVATION
FAILED,EL0029,OPEN,COMPLAINT,small,-87.62088,41.69075,SPECIAL TASK FORCE
FAILED,CN102015,OPEN,COMPLAINT,small,-87.698562,41.820798,CONSERVATION
FAILED,VT1010,OPEN,PERMIT,small,-87.652042,41.78422,VENTILATION
FAILED,CN196019,OPEN,COMPLAINT,small,-87.700381,41.901459,CONSERVATION
FAILED,CN104125,OPEN,PERIODIC,small,-87.59921,41.814087,CONSERVATION
FAILED,CEL302,COMPLIED,COMPLAINT,small,-87.671203,41.899539,CONSTRUCTION EQUIPMENT
PASSED,EV1111,COMPLIED,PERIODIC,small,-87.667949,41.879723,ELEVATOR
FAILED,CN070024,OPEN,COMPLAINT,small,-87.769378,41.931343,CONSERVATION
FAILED,CN194029,COMPLIED,COMPLAINT,small,-87.735387,41.874211,SPECIAL TASK FORCE
FAILED,CN070014,OPEN,COMPLAINT,small,-87.689518,41.809934,CONSERVATION
FAILED,EV1110,OPEN,PERMIT,small,-87.624272,41.900802,ELEVATOR
FAILED,CN198019,OPEN,PERIODIC,small,-87.597076,41.747606,CONSERVATION
FAILED,CN061014,COMPLIED,COMPLAINT,small,-87.73101,41.861834,CONSERVATION
PASSED,VT1010,OPEN,PERMIT,small,-87.755132,41.94135,VENTILATION
FAILED,CN196019,OPEN,COMPLAINT,small,-87.623516,41.768188,CONSERVATION
